,IC1,GATS6are,ATSC1c,CIC1,GATS4d,PEOE_VSA6,SMR_VSA6,AD_Status,Rel_Distance,Original_Index,AD_ID
0,2.9986359641585714,1.745564443127767,-0.2802407497568773,2.5249259918984417,0.6876124567474049,75.37816825359864,0.0,Inside Hull,0.0,0,EXP-01
1,3.0301300783098255,1.1447540730895938,-0.09358643668647593,2.8278509168177464,0.7570414472177698,87.5012493521496,0.0,Inside Hull,0.0,1,EXP-02
2,2.653996738665708,1.5168948747196278,-0.08538706404045909,2.869565217391305,1.0364971625681543,72.79640482153933,0.0,Inside Hull,0.0,2,EXP-03
3,3.0301300783098255,1.297944183560189,-0.09460896981485914,2.8278509168177464,0.7453946557221116,93.5772694589835,0.0,Inside Hull,0.0,3,EXP-04
4,2.6940687518830195,1.3493280943539363,-0.22542762968937416,3.0608187502804487,0.6372260551948051,87.51090239052188,0.0,Inside Hull,0.0,4,EXP-05
5,2.318135499766333,1.2915672446883335,-0.21423206071334652,3.463224213758327,1.0383866782006919,97.07152613375807,0.0,Inside Hull,0.0,5,EXP-06
6,2.9191476909547602,1.154677331977218,-0.1775393662562407,2.9877429046537585,0.766019824096049,93.5772694589835,7.109797541277533,Inside Hull,0.0,6,EXP-07
7,2.6347616575037223,1.453939979867252,-0.1693399936102239,2.950200843217434,1.0353146853146855,78.87242492837322,7.109797541277533,Inside Hull,0.0,7,EXP-08
8,3.047159343796535,1.3037438662537555,-0.16869307925983962,2.7077281583669333,0.6965318203272497,75.36851521522637,0.0,Inside Hull,0.0,8,EXP-09
9,2.680261997946993,1.8419733744537894,-0.1604937066138228,2.712055424831768,0.9401824878310598,60.6636706846161,0.0,Inside Hull,0.0,9,EXP-10
