index,IC1,GATS6are,ATSC1c,CIC1,GATS4d,PEOE_VSA6,SMR_VSA6,AD_ID,Original_Index,AD_Status,Rel_Distance,PC1,PC2
11,2.2154312795576,1.7007108321012359,-0.08407927856071916,3.4284249102171245,1.0097789115646256,103.13789320221969,0.0,TEST-01,11,Inside Hull,0.0,-2.8362389399587116,0.5925009250814472
13,2.1386865525783176,1.3022549227719353,-0.08163429786612166,3.4462759481428384,1.0420772566022862,109.22356634742584,0.0,TEST-02,13,Inside Hull,0.0,-2.894815068619929,1.1313630457837551
41,2.7194160839643247,1.3890515746353402,-0.2017831791095264,2.638135920653759,0.8243386243386245,66.73969079144999,0.0,TEST-03,41,Inside Hull,0.0,0.2458083326283432,-0.7272543495296085
52,3.3921530325775926,1.1915906354938852,-0.5457583728321054,2.415201889480011,1.0055411201202142,52.33779934709128,19.972448689301856,TEST-04,52,Extended Domain,0.013371917384602347,4.01234070139241,-0.050402861659680984
59,2.926246548376993,0.17626987557152918,-0.06978781175405918,1.8811083736806107,0.6311688311688312,36.407855449141934,0.0,TEST-05,59,Inside Hull,0.0,2.563936691913642,-1.378316386008519
31,2.5793488864977365,1.7027070514504754,-0.08943155018515686,2.7782031181203473,0.9750697064129901,66.73003775307771,0.0,TEST-06,31,Inside Hull,0.0,-0.6249561987367531,0.09517175067112886
18,2.602357202695436,0.8007577883244007,-0.27457000668964426,2.9522316489822016,0.8470593414333507,78.87242492837322,0.0,TEST-07,18,Inside Hull,0.0,-0.07754874185557804,0.009904653477686999
27,2.653996738665708,1.1886405421120056,-0.08932813690946723,2.869565217391305,0.875264270613108,66.73969079144999,0.0,TEST-08,27,Inside Hull,0.0,-0.33790372792419643,-0.20867627248795262
29,2.6347616575037223,0.9336489334337088,-0.17221441393292913,2.950200843217434,1.1215909090909093,78.86277189000094,7.109797541277533,TEST-09,29,Inside Hull,0.0,0.008979772181089052,1.4882617986726727
56,3.182729322455102,1.3391987054798855,-0.4932435376876057,2.243535432246996,1.0654867256637166,54.60695665452676,12.862651148024323,TEST-10,56,Inside Hull,0.0,3.2325100666388105,0.43363285674271435
