shuffle_id,RMSE
1,32.05276041190634
2,34.820140159247345
3,30.173201569050267
4,32.855214050837894
5,33.2658781778699
6,37.174584008883734
7,28.507110907598168
8,31.341904650699696
9,32.431039335394516
10,34.715828632770574
11,30.740888357961012
12,35.104545641144945
13,35.85150789484294
14,41.24156100953543
15,31.239219758838235
16,35.109465927870154
17,33.086800083932694
18,33.07956487963612
19,30.957382121812792
20,32.66526842436462
21,34.63918610285732
22,38.3146438651117
23,38.05988098272721
24,36.86025490417324
25,27.367050442562984
26,26.361409995301127
27,32.134917773330834
28,33.54497711542777
29,29.273950678564752
30,31.025185923670524
31,28.29086546697604
32,29.917963694395276
33,34.79908877162546
34,30.915130140099667
35,27.86029443757836
36,30.14915122627101
37,36.46945406164062
38,29.56117854619441
39,31.771565839717642
40,27.271571116422145
41,32.836085511229406
42,32.592318176000184
43,37.70234892247735
44,29.72703688603438
45,29.735328373593628
46,24.56368252913607
47,33.838164026245266
48,36.306346259959554
49,25.723048691951455
50,29.195080506397133
51,32.80646255497859
52,37.915840342150254
53,30.64288686637108
54,35.27320054642314
55,34.19513970412445
56,34.82766853921085
57,29.63944450378908
58,30.409229894904218
59,34.99872106352281
60,39.33869483908905
61,28.936178080494205
62,26.098978853885196
63,29.893917253254177
64,35.819828839482895
65,31.71488032387987
66,32.2448003162847
67,30.12201926424821
68,38.374780514746725
69,30.973875483139707
70,37.28308335933901
71,34.450210812242084
72,33.07580961638388
73,32.77947078926547
74,23.923638017308654
75,37.17422882792717
76,32.6425874171984
77,30.056775996437075
78,38.33801117837686
79,36.288780029227006
80,27.46523132266354
81,30.88140966845707
82,36.64631428748847
83,37.10885393614991
84,31.978621756505625
85,35.17939708262372
86,29.4344155972394
87,40.667803800235895
88,29.071069486750968
89,33.188647289143475
90,29.802337640039845
91,29.531202655389844
92,33.94249710520821
93,33.607160600857085
94,34.484795710377256
95,29.555916641099596
96,35.20560606306357
97,33.06531260112082
98,34.51960816678203
99,29.582146196615447
100,41.22439159591637
