fold,R2,RMSE,MAE
1,0.5612785079955616,22.95605919237613,19.90495867768595
2,0.43103857548167956,23.358961007584846,17.731404958677686
3,0.4718800385757126,14.513937962923267,11.65289256198347
4,0.5271518273557758,20.921680992147596,15.031818181818181
5,0.03264140883764988,35.50103013288302,28.53636363636364
