shuffle_id,RMSE
1,32.64473068537632
2,29.094134237607456
3,25.353517975989412
4,35.31414654422851
5,30.797872501067086
6,32.46357654867853
7,33.88754376193352
8,27.54163981788446
9,30.235738635377338
10,31.29744381775908
11,34.02880971399312
12,34.73911963153106
13,32.14628444245017
14,31.5132478266267
15,31.442512653756737
16,33.03852755390543
17,35.07024710339051
18,35.679598795939924
19,32.163545932143094
20,35.51241312972022
21,33.582554220391
22,34.84686474846263
23,35.28307610068597
24,35.12967569428058
25,37.08091435963206
26,27.691464671119775
27,35.52487414717993
28,37.667768472422395
29,32.611149249248
30,32.251974512444065
31,30.090518984622825
32,32.85873183651838
33,38.28539979883987
34,32.97846366773609
35,30.033702639896305
36,36.39294769164256
37,28.671591090051223
38,25.2086420137929
39,26.867530477087747
40,37.179057563600225
41,30.09360328380242
42,36.259263378990504
43,32.00074864937438
44,38.17001722653847
45,29.375208194579784
46,27.837470445760676
47,26.092665970869703
48,28.640520177941898
49,32.19899033193097
50,35.16866936011308
51,31.85884861700332
52,29.908023905055657
53,30.02317310218712
54,29.543373977765608
55,28.70659172517373
56,33.83476179490586
57,31.089742299802417
58,32.54039101905184
59,33.397045531552365
60,38.963317757954236
61,31.695785200936548
62,34.381841849321866
63,36.394318451537295
64,34.64509589604992
65,24.053667912265453
66,31.566515616750735
67,32.79256518239847
68,33.87609826194538
69,31.980740318202322
70,29.040711599401074
71,33.76865397003033
72,29.82436669714277
73,28.81008203378014
74,33.06875208672834
75,28.267542549924663
76,30.14019558363505
77,34.50337492386528
78,29.239496646833423
79,32.331081311326656
80,29.540146825095878
81,33.83832771705332
82,27.94032087023792
83,30.69221611755505
84,32.73163449568988
85,31.247737979704656
86,28.876695511419896
87,29.146148649147836
88,30.318848973765427
89,26.531796588571567
90,30.074316616320598
91,33.13103436538115
92,27.701113548525456
93,35.97842848360066
94,33.18549632711491
95,29.699706866084238
96,37.28178161742652
97,27.729589016036957
98,29.240964011153615
99,35.22652824771286
100,34.465822974261364
