fold,R2,RMSE,MAE
1,0.561673924827933,22.945711786783534,18.917037496077793
2,0.3596184906795855,24.781723226039578,19.91918982821572
3,0.3913070598845787,15.581817137406004,12.116302761508837
4,0.4579004290352481,22.40140460085033,16.716651921882686
5,0.2296170442333747,31.681121096333506,25.11589193151815
