shuffle_id,RMSE
1,32.10274054365489
2,31.595911964881815
3,31.567211517256425
4,34.034392546849695
5,27.159028147512117
6,32.52020351048923
7,33.70805014574559
8,38.31308873733677
9,28.52826639442142
10,29.685587258956005
11,29.173795272101856
12,34.122176570147126
13,31.580779932690465
14,34.87885468492667
15,39.16557087735044
16,32.58273639128245
17,38.0212587337989
18,31.436049475269158
19,30.79037697154075
20,32.979667540385854
21,31.96488259024682
22,30.80210763423087
23,35.97977220973561
24,32.35396305894897
25,35.075776883298566
26,33.24316247350227
27,30.820846626542554
28,31.6626588735398
29,37.020440523161334
30,34.4003531598247
31,35.54049314363212
32,29.907543480279244
33,31.849954915182746
34,29.699928346742738
35,30.67393501421359
36,30.40984168117914
37,36.94160289962238
38,31.058964849470772
39,28.290592864556572
40,31.367473414824985
41,34.234545889078255
42,30.735535467856547
43,29.097733574516653
44,34.819273659595744
45,35.21382734613829
46,27.322303425275287
47,31.758746436322255
48,29.0736028067608
49,38.370836248121634
50,37.37927122557865
51,27.398056726649326
52,30.010015545778234
53,36.41641340507404
54,34.23391822483651
55,36.84592389176877
56,32.570517901372654
57,30.872137000460572
58,33.451219572821124
59,33.68865100611139
60,36.70413312461898
61,33.455403892148375
62,30.76749317646201
63,28.635750354183273
64,37.30176252676682
65,35.67225986627343
66,34.84391406124516
67,38.08177098024375
68,32.870111269602255
69,35.42857148807936
70,32.2812856769782
71,36.12713146790336
72,27.88569496123549
73,35.36235391458217
74,31.983964215558846
75,32.57138060799302
76,36.70938189357408
77,30.20973175256582
78,32.76172113764517
79,27.35596388962704
80,32.66806829230057
81,38.238718424874804
82,36.70281307479449
83,31.454519180230747
84,30.79408081471406
85,31.769039973320663
86,31.32149672389226
87,30.766405285877582
88,33.34375181535466
89,28.22621868914792
90,36.00842991291607
91,30.374229235536045
92,36.34466266361859
93,32.174877268961374
94,32.78592912760488
95,33.01952214940741
96,31.439772542444725
97,28.37300981479429
98,33.139580838957784
99,30.4638791667164
100,29.909239430413223
