shuffle_id,balanced_accuracy
1,0.6071428571428572
2,0.4107142857142857
3,0.6071428571428572
4,0.5892857142857143
5,0.3392857142857143
6,0.6607142857142857
7,0.5178571428571428
8,0.4642857142857143
9,0.5892857142857143
10,0.2857142857142857
11,0.7857142857142857
12,0.7142857142857143
13,0.48214285714285715
14,0.48214285714285715
15,0.4464285714285714
16,0.5892857142857143
17,0.4107142857142857
18,0.48214285714285715
19,0.2857142857142857
20,0.5178571428571428
21,0.4464285714285714
22,0.5178571428571428
23,0.39285714285714285
24,0.2857142857142857
25,0.5892857142857143
26,0.48214285714285715
27,0.4464285714285714
28,0.48214285714285715
29,0.4107142857142857
30,0.4107142857142857
31,0.5892857142857143
32,0.5892857142857143
33,0.3214285714285714
34,0.5892857142857143
35,0.5892857142857143
36,0.2857142857142857
37,0.5892857142857143
38,0.5892857142857143
39,0.4642857142857143
40,0.3214285714285714
41,0.3392857142857143
42,0.4107142857142857
43,0.48214285714285715
44,0.4464285714285714
45,0.3392857142857143
46,0.48214285714285715
47,0.5892857142857143
48,0.39285714285714285
49,0.3214285714285714
50,0.5178571428571428
51,0.4464285714285714
52,0.4642857142857143
53,0.7142857142857143
54,0.3392857142857143
55,0.4642857142857143
56,0.5178571428571428
57,0.5535714285714286
58,0.4464285714285714
59,0.39285714285714285
60,0.5714285714285714
61,0.4464285714285714
62,0.5178571428571428
63,0.5178571428571428
64,0.48214285714285715
65,0.4107142857142857
66,0.4642857142857143
67,0.4107142857142857
68,0.5892857142857143
69,0.39285714285714285
70,0.5892857142857143
71,0.5357142857142857
72,0.4107142857142857
73,0.48214285714285715
74,0.48214285714285715
75,0.5535714285714286
76,0.39285714285714285
77,0.5178571428571428
78,0.5178571428571428
79,0.5535714285714286
80,0.4107142857142857
81,0.5892857142857143
82,0.6785714285714286
83,0.48214285714285715
84,0.48214285714285715
85,0.6607142857142857
86,0.48214285714285715
87,0.4107142857142857
88,0.48214285714285715
89,0.3214285714285714
90,0.2857142857142857
91,0.5892857142857143
92,0.3214285714285714
93,0.35714285714285715
94,0.5892857142857143
95,0.75
96,0.3392857142857143
97,0.48214285714285715
98,0.39285714285714285
99,0.4642857142857143
100,0.6607142857142857
