shuffle_id,balanced_accuracy
1,0.7142857142857143
2,0.39285714285714285
3,0.48214285714285715
4,0.2857142857142857
5,0.5178571428571428
6,0.7142857142857143
7,0.48214285714285715
8,0.5535714285714286
9,0.4464285714285714
10,0.3214285714285714
11,0.3214285714285714
12,0.5892857142857143
13,0.3214285714285714
14,0.5892857142857143
15,0.5178571428571428
16,0.3214285714285714
17,0.3214285714285714
18,0.42857142857142855
19,0.5178571428571428
20,0.4464285714285714
21,0.5535714285714286
22,0.4642857142857143
23,0.5535714285714286
24,0.5535714285714286
25,0.3214285714285714
26,0.7857142857142857
27,0.6428571428571428
28,0.5892857142857143
29,0.48214285714285715
30,0.5535714285714286
31,0.7142857142857143
32,0.5535714285714286
33,0.5178571428571428
34,0.6785714285714286
35,0.3214285714285714
36,0.48214285714285715
37,0.48214285714285715
38,0.5178571428571428
39,0.7321428571428572
40,0.48214285714285715
41,0.6428571428571428
42,0.4107142857142857
43,0.625
44,0.6785714285714286
45,0.6785714285714286
46,0.625
47,0.5535714285714286
48,0.4464285714285714
49,0.5178571428571428
50,0.3214285714285714
51,0.5892857142857143
52,0.48214285714285715
53,0.4464285714285714
54,0.7857142857142857
55,0.3214285714285714
56,0.5178571428571428
57,0.4107142857142857
58,0.3214285714285714
59,0.75
60,0.48214285714285715
61,0.42857142857142855
62,0.48214285714285715
63,0.48214285714285715
64,0.2857142857142857
65,0.7142857142857143
66,0.5892857142857143
67,0.5535714285714286
68,0.5535714285714286
69,0.4107142857142857
70,0.5535714285714286
71,0.48214285714285715
72,0.2857142857142857
73,0.7142857142857143
74,0.5535714285714286
75,0.48214285714285715
76,0.5178571428571428
77,0.5535714285714286
78,0.3214285714285714
79,0.6785714285714286
80,0.6785714285714286
81,0.48214285714285715
82,0.4107142857142857
83,0.375
84,0.4464285714285714
85,0.35714285714285715
86,0.4107142857142857
87,0.5535714285714286
88,0.5892857142857143
89,0.48214285714285715
90,0.5178571428571428
91,0.5892857142857143
92,0.48214285714285715
93,0.4464285714285714
94,0.7857142857142857
95,0.48214285714285715
96,0.5892857142857143
97,0.6785714285714286
98,0.48214285714285715
99,0.6785714285714286
100,0.7142857142857143
