fold,accuracy,balanced_accuracy,log_loss
1,0.75,0.7285714285714285,0.6121134871950021
2,0.6363636363636364,0.6071428571428572,0.7071021097286824
3,0.9090909090909091,0.875,0.2379518675099722
4,0.7272727272727273,0.7321428571428572,0.5918906049157587
5,0.7272727272727273,0.7321428571428572,0.5777754367652441
