shuffle_id,balanced_accuracy
1,0.21428571428571427
2,0.5535714285714286
3,0.4107142857142857
4,0.42857142857142855
5,0.42857142857142855
6,0.5535714285714286
7,0.8035714285714286
8,0.6071428571428572
9,0.21428571428571427
10,0.5892857142857143
11,0.42857142857142855
12,0.35714285714285715
13,0.8035714285714286
14,0.21428571428571427
15,0.42857142857142855
16,0.6785714285714286
17,0.35714285714285715
18,0.48214285714285715
19,0.4107142857142857
20,0.42857142857142855
21,0.35714285714285715
22,0.48214285714285715
23,0.6607142857142857
24,0.5
25,0.5
26,0.4107142857142857
27,0.42857142857142855
28,0.625
29,0.42857142857142855
30,0.625
31,0.6071428571428572
32,0.6071428571428572
33,0.42857142857142855
34,0.625
35,0.42857142857142855
36,0.5535714285714286
37,0.5357142857142857
38,0.48214285714285715
39,0.35714285714285715
40,0.48214285714285715
41,0.2857142857142857
42,0.6785714285714286
43,0.5535714285714286
44,0.42857142857142855
45,0.6785714285714286
46,0.42857142857142855
47,0.42857142857142855
48,0.48214285714285715
49,0.35714285714285715
50,0.6071428571428572
51,0.5
52,0.42857142857142855
53,0.35714285714285715
54,0.6785714285714286
55,0.5535714285714286
56,0.6785714285714286
57,0.6071428571428572
58,0.35714285714285715
59,0.5
60,0.5535714285714286
61,0.5535714285714286
62,0.5357142857142857
63,0.6071428571428572
64,0.2857142857142857
65,0.48214285714285715
66,0.5535714285714286
67,0.2857142857142857
68,0.5535714285714286
69,0.5357142857142857
70,0.4107142857142857
71,0.4107142857142857
72,0.35714285714285715
73,0.5
74,0.6607142857142857
75,0.5535714285714286
76,0.625
77,0.5535714285714286
78,0.7321428571428572
79,0.5535714285714286
80,0.5535714285714286
81,0.6785714285714286
82,0.5535714285714286
83,0.5357142857142857
84,0.6785714285714286
85,0.42857142857142855
86,0.21428571428571427
87,0.6071428571428572
88,0.2857142857142857
89,0.5
90,0.42857142857142855
91,0.42857142857142855
92,0.5535714285714286
93,0.35714285714285715
94,0.48214285714285715
95,0.2857142857142857
96,0.5892857142857143
97,0.5535714285714286
98,0.42857142857142855
99,0.48214285714285715
100,0.42857142857142855
