fold,accuracy,balanced_accuracy,log_loss
1,0.8333333333333334,0.8,0.5680532292419919
2,0.8181818181818182,0.8571428571428572,0.5596581712834588
3,1.0,1.0,0.3635527547037164
4,0.7272727272727273,0.7321428571428572,0.5697815612141327
5,0.8181818181818182,0.8035714285714286,0.5148660426394378
