fold,accuracy,balanced_accuracy,log_loss
1,0.6666666666666666,0.6571428571428571,0.6224486667832901
2,0.7272727272727273,0.7857142857142857,0.5103014844373174
3,0.9090909090909091,0.875,0.34229964687631625
4,0.7272727272727273,0.7321428571428572,0.5725989521991255
5,0.7272727272727273,0.7321428571428572,0.5494600666541583
