shuffle_id,balanced_accuracy
1,0.5892857142857143
2,0.5892857142857143
3,0.5178571428571428
4,0.5892857142857143
5,0.4642857142857143
6,0.5892857142857143
7,0.6071428571428572
8,0.6071428571428572
9,0.48214285714285715
10,0.5535714285714286
11,0.48214285714285715
12,0.48214285714285715
13,0.3214285714285714
14,0.625
15,0.42857142857142855
16,0.5892857142857143
17,0.48214285714285715
18,0.4642857142857143
19,0.3214285714285714
20,0.5357142857142857
21,0.4642857142857143
22,0.6428571428571428
23,0.5357142857142857
24,0.5178571428571428
25,0.4107142857142857
26,0.35714285714285715
27,0.5892857142857143
28,0.4107142857142857
29,0.5178571428571428
30,0.4642857142857143
31,0.42857142857142855
32,0.3214285714285714
33,0.5535714285714286
34,0.6607142857142857
35,0.5357142857142857
36,0.39285714285714285
37,0.4107142857142857
38,0.39285714285714285
39,0.2857142857142857
40,0.5178571428571428
41,0.5535714285714286
42,0.4642857142857143
43,0.4642857142857143
44,0.4107142857142857
45,0.6785714285714286
46,0.5535714285714286
47,0.48214285714285715
48,0.42857142857142855
49,0.39285714285714285
50,0.5892857142857143
51,0.3214285714285714
52,0.3214285714285714
53,0.5178571428571428
54,0.6607142857142857
55,0.6607142857142857
56,0.4107142857142857
57,0.48214285714285715
58,0.6607142857142857
59,0.4642857142857143
60,0.5357142857142857
61,0.5892857142857143
62,0.4642857142857143
63,0.5892857142857143
64,0.5178571428571428
65,0.3392857142857143
66,0.5535714285714286
67,0.39285714285714285
68,0.6607142857142857
69,0.5535714285714286
70,0.6071428571428572
71,0.7321428571428572
72,0.2857142857142857
73,0.4642857142857143
74,0.6428571428571428
75,0.3214285714285714
76,0.4642857142857143
77,0.5535714285714286
78,0.42857142857142855
79,0.5892857142857143
80,0.5178571428571428
81,0.3392857142857143
82,0.5892857142857143
83,0.5357142857142857
84,0.5535714285714286
85,0.5357142857142857
86,0.39285714285714285
87,0.4642857142857143
88,0.2857142857142857
89,0.48214285714285715
90,0.6428571428571428
91,0.42857142857142855
92,0.42857142857142855
93,0.6785714285714286
94,0.4107142857142857
95,0.39285714285714285
96,0.4107142857142857
97,0.6785714285714286
98,0.4642857142857143
99,0.35714285714285715
100,0.5535714285714286
