shuffle_id,RMSE
1,48.27438934535233
2,42.18148619688237
3,52.133908777727804
4,53.36457418342039
5,55.694853143415926
6,49.080149868466286
7,48.698619647332464
8,54.5073899169237
9,39.531984237801396
10,31.896969553025983
11,51.0642297068658
12,40.07458324452323
13,49.50561135422484
14,51.68628659733859
15,41.94275198940151
16,48.80346071517652
17,49.28319524273293
18,50.444689181980955
19,48.09539132460268
20,37.225290089161454
21,40.880584905578615
22,37.672565909720326
23,39.350984739901996
24,45.57685816288789
25,43.4376948436877
26,48.75334746341925
27,48.703182647543684
28,42.96930428935418
29,48.3045891539648
30,50.54838166439049
31,50.9348712682295
32,56.267466424016085
33,40.86189477305775
34,36.125552667821644
35,43.61096956806472
36,50.5195231788882
37,53.1172706795487
38,43.17052749787109
39,29.18808737215312
40,41.259005750933404
41,50.25380029852911
42,45.60823512383604
43,44.31045775735866
44,52.30917701512804
45,56.60805792660813
46,46.12723948191808
47,41.60762483541261
48,21.29684379328438
49,43.999684342302075
50,44.070965498840614
51,49.908805724930836
52,32.33462196744811
53,45.249309386995066
54,45.580514842784886
55,45.10758743764118
56,39.9833298596636
57,42.347766568419324
58,39.153543900903784
59,46.090490703976386
60,46.44351407893249
61,34.8109976236757
62,27.84630436281746
63,46.27694410346858
64,44.7288124888943
65,43.00258390169389
66,50.35347279207485
67,33.98896879871468
68,48.40856214440674
69,42.43786307323004
70,42.86121012446257
71,44.1877308260512
72,46.639873260738796
73,41.97684546932458
74,28.439506949937716
75,48.661243990126955
76,48.03355308763055
77,51.24207255761617
78,38.764244693617684
79,47.31455026381067
80,36.363901514184825
81,55.01312974594742
82,47.84842967352452
83,49.688473959706634
84,46.74012076245513
85,45.25882357188608
86,43.14446018255929
87,39.283160090128526
88,36.72835719471022
89,57.1314274283428
90,53.389293558415496
91,38.94618794639028
92,56.10406996525891
93,47.75079987695378
94,37.18123780140253
95,48.64954036553458
96,51.38957957493804
97,31.15596964378487
98,38.06427312965386
99,44.83054514254514
100,36.466118216472914
