shuffle_id,RMSE
1,40.26455721725044
2,37.51263161741918
3,41.031905682658916
4,49.973202695587965
5,34.38884401361279
6,43.706795245330945
7,40.99713931603967
8,38.33381642207675
9,39.174033980069055
10,42.81441432594955
11,36.24419919530079
12,31.91404350500742
13,29.630856456082867
14,41.4511463154422
15,35.35568824613693
16,44.56691459528257
17,45.589418308730316
18,50.87942658268385
19,33.61583988773781
20,40.516267118708846
21,32.50337114519768
22,49.523781542523636
23,39.77281160805553
24,39.33035142494759
25,38.40476436493167
26,35.35970364659903
27,44.383708500382355
28,37.44823587794718
29,47.28074804613892
30,42.80158067924566
31,42.95188235142745
32,36.6373620269841
33,38.040426838747145
34,36.33673106776885
35,31.863520687728215
36,44.58090162977255
37,43.062830926535796
38,37.75048033379309
39,41.63702649455941
40,43.363522247718706
41,40.104800981034614
42,48.24602587100495
43,44.58187086559449
44,39.807406718218026
45,40.66727382667576
46,44.946195543417915
47,38.33848596609991
48,32.57204739657823
49,44.11181079769738
50,39.80135862188813
51,43.34956960784253
52,39.73927372943811
53,45.02756357478696
54,42.25714929649972
55,46.59571325591187
56,46.79136778045104
57,44.17333981732968
58,40.46824696407888
59,41.34736918198792
60,41.97280130492503
61,41.6988024223333
62,51.214147350989734
63,37.640764610908576
64,35.11743965469628
65,40.61760853936123
66,45.52532872539808
67,37.844711945293255
68,45.120962252238165
69,42.139392438213065
70,41.91363842974925
71,35.08860037880123
72,47.25005715588678
73,37.876342008575975
74,40.521446843875005
75,36.88437053988392
76,41.106306025495996
77,40.994278432453605
78,36.732264553921254
79,33.83310527199179
80,38.95549851044819
81,34.1194343808501
82,41.130325839989446
83,40.92178628301302
84,40.94365293973393
85,38.421637422450154
86,43.844281128264846
87,27.709471572276772
88,50.34338874294674
89,40.62004005809187
90,38.59332124143301
91,52.173144787687825
92,39.17813070994998
93,37.015345499794215
94,42.2686878825052
95,42.331437694507265
96,43.542940349969335
97,44.15922369151248
98,42.28781454815629
99,38.66954012311671
100,39.42143303732183
