fold,R2,RMSE,MAE
1,-3.1478781215060305,31.086507551299437,26.508475196874674
2,0.4487312754369098,24.387295896196377,17.51686256534688
3,0.5126673279835436,20.958272393277856,15.668432779451093
4,-0.5426574834900608,44.422986551535416,28.634199717635088
5,0.5574195685881977,18.41106827041686,12.617700274089232
