shuffle_id,RMSE
1,46.14522368844849
2,43.35456084778936
3,44.01024378533436
4,43.30635408075042
5,47.351045305371905
6,41.89027348705438
7,44.783343683640545
8,45.98041364923167
9,44.65515193909296
10,43.21280721570991
11,43.008328126769406
12,44.618951915189854
13,44.29556090220908
14,45.1615549618509
15,45.42154641479325
16,45.83262722376299
17,46.34243925879324
18,45.86279975316591
19,44.24663224170816
20,41.82213675035247
21,46.633799683764565
22,44.43115009104643
23,44.42928151753298
24,45.565384774182576
25,46.405375547573776
26,44.75186984155166
27,43.05783008987184
28,45.14965804423248
29,46.5910669505702
30,44.76066077872017
31,44.944075771175996
32,49.50845301645806
33,43.29797771342449
34,46.140857680595126
35,45.556349870451854
36,45.52821697804716
37,44.48073417216368
38,47.50176213725652
39,43.5269614357404
40,47.7226165437699
41,42.8552678557593
42,44.68626201227208
43,47.519607052263915
44,44.999381813444714
45,43.21046847135156
46,42.75113077821537
47,43.19563813682286
48,46.73535581793447
49,45.329674756090846
50,45.19255363604528
51,45.772334534265475
52,47.24755720994681
53,44.732210215991984
54,48.37799882582389
55,46.6512675904126
56,44.36496078400249
57,45.35625211122837
58,46.06051666255746
59,45.372322849949526
60,44.770150057354144
61,48.49832673141596
62,46.58107750310691
63,48.52564128166505
64,46.16496166226547
65,48.03588055849606
66,44.708754717863606
67,46.67702235118913
68,47.19591763620508
69,44.29915352553016
70,44.69944532556847
71,43.92441790884254
72,46.197807242458055
73,45.579322605141
74,46.94730338072946
75,44.194868893929616
76,45.26728750231016
77,42.39263765631524
78,44.455440310813366
79,44.77128130498932
80,42.74818982038314
81,41.33481912955358
82,42.27962795783012
83,40.87130368737762
84,43.82708099069591
85,43.59436402843139
86,48.08788322306841
87,40.6917027178233
88,41.6841677233289
89,43.36291757727457
90,46.28616055868311
91,44.383256335063685
92,44.61836865639188
93,47.11711540603724
94,44.126850459468265
95,46.605863031076375
96,44.43042853555053
97,43.48867387940226
98,43.68798717544093
99,42.95949146673056
100,44.951709969235054
